blind_id,run_id,model,condition,bucket
B0001,M1_C1_KP2_T3_A_r01,M1,C1,numeric_wrong
B0002,M3_C3_KP6_T2_B_r07,M3,C3,numeric_wrong
B0003,M3_C1_KP3_T3_A_r04,M3,C1,numeric_wrong
B0004,M1_C1_KP1_T1_A_r03,M1,C1,numeric_wrong
B0005,M3_C3_KP4_T1_A_r03,M3,C3,numeric_wrong
B0006,M2_C3_KP3_T2_A_r02,M2,C3,numeric_wrong
B0007,M1_C4_KP4_T1_can_r01,M1,C4,numeric_wrong
B0008,M2_C3_KP3_T3_A_r03,M2,C3,numeric_wrong
B0009,M2_C2_KP3_T3_can_r01,M2,C2,numeric_wrong
B0010,M1_C1_KP5_T2_A_r02,M1,C1,numeric_wrong
B0011,M3_C3_KP4_T1_A_r04,M3,C3,numeric_wrong
B0012,M1_C1_KP5_T1_B_r07,M1,C1,numeric_wrong
B0013,M3_C3_KP5_T1_A_r03,M3,C3,numeric_wrong
B0014,M3_C3_KP1_T3_B_r10,M3,C3,numeric_wrong
B0015,M2_C3_KP4_T1_A_r05,M2,C3,numeric_wrong
B0016,M1_C2_KP4_T1_can_r06,M1,C2,numeric_wrong
B0017,M1_C1_KP3_T3_A_r04,M1,C1,numeric_wrong
B0018,M1_C3_KP5_T2_B_r10,M1,C3,numeric_wrong
B0019,M2_C1_KP6_T3_A_r01,M2,C1,numeric_wrong
B0020,M1_C2_KP5_T2_can_r09,M1,C2,numeric_wrong
B0021,M1_C1_KP1_T3_A_r01,M1,C1,numeric_wrong
B0022,M2_C3_KP4_T3_A_r02,M2,C3,defensible
B0023,M3_C1_KP5_T2_A_r03,M3,C1,numeric_wrong
B0024,M3_C1_KP3_T1_A_r02,M3,C1,numeric_wrong
B0025,M1_C2_KP5_T3_can_r10,M1,C2,numeric_wrong
B0026,M3_C3_KP5_T2_A_r02,M3,C3,numeric_wrong
B0027,M1_C1_KP3_T2_B_r10,M1,C1,numeric_wrong
B0028,M1_C1_KP5_T3_B_r07,M1,C1,numeric_wrong
B0029,M3_C1_KP4_T1_A_r02,M3,C1,numeric_wrong
B0030,M1_C2_KP4_T1_can_r10,M1,C2,numeric_wrong
B0031,M1_C1_KP2_T1_B_r07,M1,C1,numeric_wrong
B0032,M1_C3_KP5_T1_B_r10,M1,C3,numeric_wrong
B0033,M2_C3_KP3_T3_A_r05,M2,C3,numeric_wrong
B0034,M3_C2_KP2_T3_can_r01,M3,C2,numeric_wrong
B0035,M1_C1_KP5_T1_A_r03,M1,C1,numeric_wrong
B0036,M1_C1_KP5_T2_A_r01,M1,C1,numeric_wrong
B0037,M1_C2_KP4_T3_can_r08,M1,C2,defensible
B0038,M2_C3_KP4_T2_B_r06,M2,C3,numeric_wrong
B0039,M2_C2_KP3_T2_can_r06,M2,C2,numeric_wrong
B0040,M2_C3_KP6_T1_A_r03,M2,C3,numeric_wrong
B0041,M3_C3_KP6_T2_B_r06,M3,C3,numeric_wrong
B0042,M1_C3_KP2_T3_A_r02,M1,C3,numeric_wrong
B0043,M1_C2_KP3_T3_can_r10,M1,C2,numeric_wrong
B0044,M3_C1_KP3_T2_B_r09,M3,C1,numeric_wrong
B0045,M3_C1_KP6_T1_A_r04,M3,C1,numeric_wrong
B0046,M1_C2_KP5_T2_can_r04,M1,C2,numeric_wrong
B0047,M3_C3_KP3_T3_A_r04,M3,C3,numeric_wrong
B0048,M1_C3_KP5_T3_A_r02,M1,C3,numeric_wrong
B0049,M2_C2_KP2_T3_can_r10,M2,C2,numeric_wrong
B0050,M3_C1_KP3_T1_B_r08,M3,C1,numeric_wrong
B0051,M3_C1_KP3_T3_A_r05,M3,C1,numeric_wrong
B0052,M1_C3_KP2_T3_A_r01,M1,C3,numeric_wrong
B0053,M3_C2_KP2_T3_can_r08,M3,C2,numeric_wrong
B0054,M1_C2_KP5_T3_can_r02,M1,C2,numeric_wrong
B0055,M2_C1_KP6_T3_B_r08,M2,C1,numeric_wrong
B0056,M2_C2_KP3_T3_can_r10,M2,C2,numeric_wrong
B0057,M3_C1_KP5_T3_B_r09,M3,C1,numeric_wrong
B0058,M1_C2_KP5_T1_can_r02,M1,C2,numeric_wrong
B0059,M1_C1_KP1_T3_A_r04,M1,C1,numeric_wrong
B0060,M2_C3_KP3_T2_B_r08,M2,C3,numeric_wrong
B0061,M3_C1_KP6_T2_B_r06,M3,C1,numeric_wrong
B0062,M1_C3_KP1_T2_B_r10,M1,C3,numeric_wrong
B0063,M1_C4_KP6_T2_can_r06,M1,C4,numeric_wrong
B0064,M3_C2_KP1_T3_can_r02,M3,C2,numeric_wrong
B0065,M1_C1_KP1_T1_B_r09,M1,C1,numeric_wrong
B0066,M1_C4_KP5_T3_can_r05,M1,C4,numeric_wrong
B0067,M2_C1_KP6_T2_B_r10,M2,C1,numeric_wrong
B0068,M2_C1_KP4_T1_A_r01,M2,C1,numeric_wrong
B0069,M3_C2_KP2_T3_can_r05,M3,C2,numeric_wrong
