model,final_class,hardcoded,declared
M1,CV,0,N
M3,CN,0,N
M1,CN,0,N
M1,CN,0,Y
M1,CV,0,Y
M1,CN,0,N
M2,CD,0,N
M1,CN,0,N
M3,CN,0,Y
M3,CN,1,Y
M1,CV,0,Y
M1,CN,0,N
M3,CN,1,N
M1,CV,0,N
M1,CN,0,N
M1,CN,0,Y
M3,CN,1,Y
M3,CD,0,N
M3,CN,1,Y
M3,CN,0,N
M2,CD,0,N
M3,CN,1,Y
M1,CN,0,N
M3,CV,0,N
M1,CN,0,N
M2,CD,0,N
M2,CN,1,N
M1,CV,0,N
M1,CN,0,N
M3,CN,0,Y
M3,CN,1,N
M2,CN,0,Y
M2,CV,0,N
M1,CN,0,N
M1,CV,0,N
M1,CN,0,N
M3,CD,0,N
M3,CD,0,Y
M1,CN,0,Y
M1,CN,0,Y
M1,CN,1,N
M1,CV,0,N
M3,CN,0,N
M2,CN,0,N
M2,CV,0,N
M3,CD,0,N
M1,CN,0,N
M1,CN,0,N
M2,CN,1,N
M1,CN,0,N
M3,CD,0,Y
M2,CD,0,N
M2,CV,0,N
M2,CD,0,N
M1,CV,0,Y
M3,CV,0,N
M1,CN,0,Y
M3,CV,0,N
M3,CN,0,N
M2,CV,0,N
M1,CN,0,Y
M3,CN,0,Y
M3,CV,0,Y
M2,CN,0,Y
M2,CV,0,N
M3,CD,0,Y
M1,CN,0,N
M3,CN,1,Y
M2,CD,0,N
M1,CV,0,N
M1,CN,0,Y
M1,CN,0,Y
M1,CN,0,Y
M3,CN,0,N
M1,CV,0,N
M3,CN,1,Y
M1,CN,0,Y
M1,CN,0,N
M1,CN,0,Y
M1,CN,0,N
M3,CD,0,Y
M3,CV,0,Y
M3,CN,1,Y
M1,CV,0,Y
M1,CN,0,N
M1,CN,0,N
M1,CN,0,N
M1,CV,0,Y
M1,CN,0,N
M1,CN,0,N
M1,CN,0,Y
M1,CV,0,N
M1,CN,0,N
M1,CV,0,Y
M3,CN,1,Y
M2,CD,0,N
M3,CV,0,N
M3,CV,0,N
M1,CN,0,N
M3,CN,0,Y
M1,CN,0,N
M1,CN,0,N
M3,CN,1,Y
M3,CN,0,N
M3,CV,0,N
M1,CV,0,N
M1,CV,0,Y
M1,CN,0,N
M2,CD,0,N
M3,CN,1,N
M1,CV,0,Y
M3,CD,0,N
M2,CN,0,Y
M3,CD,0,N
M1,CV,0,N
M2,CV,0,Y
M2,CN,0,N
M1,CN,0,N
M1,CV,0,N
M1,CV,0,Y
M3,CN,1,N
M1,CN,0,Y
M2,CN,1,N
M1,CN,0,N
M1,CN,0,N
M1,CV,0,Y
M2,CN,1,Y
M3,CN,0,N
M3,CD,0,N
M1,CN,1,N
M1,CV,0,N
M2,CN,1,N
M2,CV,0,N
M1,CN,0,N
M1,CN,0,Y
M1,CN,0,Y
M3,CN,0,N
M1,CV,0,N
M3,CN,0,Y
M3,CV,0,N
M1,CD,0,N
M3,CN,0,N
M3,CV,0,Y
M1,CN,0,Y
M3,CN,1,N
M3,CN,1,Y
M1,CN,0,N
M1,CN,0,N
M3,CN,0,N
M3,CV,0,N
M2,CV,0,Y
M1,CV,0,N
M3,CN,0,N
M3,CV,0,Y
M1,CN,0,N
M1,CN,0,Y
M3,CN,1,Y
M1,CN,0,N
M1,CN,0,Y
M3,CV,0,N
M3,CN,1,Y
M3,CN,0,N
M2,CV,0,N
M1,CD,0,N
M1,CV,0,Y
M2,CD,0,N
M3,CN,1,Y
M1,CV,0,Y
M2,CD,0,N
M3,CN,0,Y
M1,CN,0,N
M2,CV,0,N
M2,CD,0,N
M1,CN,0,Y
M1,CN,0,Y
M3,CN,1,N
M3,CD,0,N
M1,CN,0,N
M1,CV,0,N
M1,CV,0,N
M1,CN,1,Y
M1,CV,0,Y
M3,CV,0,Y
M3,CV,0,Y
M3,CV,0,Y
M1,CN,0,Y
M2,CN,1,N
M2,CN,0,N
M3,CD,0,Y
M1,CN,1,N
M1,CN,1,N
M1,CV,0,N
M1,CV,0,N
M1,CV,0,Y
M1,CV,0,N
M1,CD,0,N
M1,CV,0,Y
M1,CV,0,N
M3,CN,1,N
M3,CN,1,N
M2,CV,0,N
M2,CV,0,Y
M3,CV,0,N
M1,CV,0,N
M1,CV,0,Y
M3,CD,0,N
M1,CN,0,N
M1,CV,0,Y
M1,CN,1,N
M1,CN,0,Y
M1,CN,0,Y
M3,CN,1,Y
M1,CN,0,N
M3,CN,0,N
M1,CV,0,Y
M1,CV,0,N
M1,CV,0,Y
M2,CV,0,N
M1,CN,0,N
M3,CD,0,Y
M1,CV,0,Y
M3,CN,1,N
M1,CV,0,Y
M1,CV,0,N
M1,CV,0,Y
M2,CN,0,N
M3,CN,0,N
M3,CD,0,Y
M3,CN,1,Y
M1,CN,0,N
M1,CV,0,Y
M3,CD,0,N
M3,CN,0,N
M2,CV,0,Y
M1,CN,0,N
M1,CN,1,N
M3,CN,1,N
M1,CV,0,N
M3,CN,1,Y
M1,CV,0,N
M3,CV,0,N
M2,CN,1,Y
M3,CD,0,N
M3,CN,0,N
M1,CV,0,Y
M1,CN,1,N
M1,CN,0,N
M1,CN,0,Y
M3,CV,0,N
M2,CV,0,N
M3,CN,0,N
M1,CV,0,N
M2,CD,0,N
M2,CN,0,Y
M2,CN,0,N
M1,CV,0,Y
M3,CN,0,N
