run_id,blind_id,condition,model,bucket,mech_class,mech_detail,coder_Q,coder_K,final_class,source,declared,hardcoded
M1_C1_KP2_T3_A_r01,B0001,C1,M1,numeric_wrong,CV,percent_x100,CN,CV,CV,mechanical,N,0
M3_C3_KP6_T2_B_r07,B0002,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CV,CV,adjudicated,N,0
M3_C1_KP3_T3_A_r04,B0003,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP1_T1_A_r03,B0004,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M3_C3_KP4_T1_A_r03,B0005,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M2_C3_KP3_T2_A_r02,B0006,C3,M2,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M1_C4_KP4_T1_can_r01,B0007,C4,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M2_C3_KP3_T3_A_r03,B0008,C3,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C2_KP3_T3_can_r01,B0009,C2,M2,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M1_C1_KP5_T2_A_r02,B0010,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C3_KP4_T1_A_r04,B0011,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M1_C1_KP5_T1_B_r07,B0012,C1,M1,numeric_wrong,CV,currency_wan,CN,CN,CV,mechanical,Y,0
M3_C3_KP5_T1_A_r03,B0013,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M3_C3_KP1_T3_B_r10,B0014,C3,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,N,1
M2_C3_KP4_T1_A_r05,B0015,C3,M2,numeric_wrong,CV,discrete_discount,CV,CN,CV,mechanical,Y,0
M1_C2_KP4_T1_can_r06,B0016,C2,M1,numeric_wrong,CV,percent_d100,CV,CV,CV,mechanical,Y,0
M1_C1_KP3_T3_A_r04,B0017,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C3_KP5_T2_B_r10,B0018,C3,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M2_C1_KP6_T3_A_r01,B0019,C1,M2,numeric_wrong,UNMATCHED,no_numeric_detail,CN,CD,CD,adjudicated,N,0
M1_C2_KP5_T2_can_r09,B0020,C2,M1,numeric_wrong,CV,sign_flip,CN,CV,CV,mechanical,N,0
M1_C1_KP1_T3_A_r01,B0021,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M2_C3_KP4_T3_A_r02,B0022,C3,M2,defensible,CV,declared_alt:vega_approximation,CV,CV,CV,mechanical,Y,0
M3_C1_KP5_T2_A_r03,B0023,C1,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,Y,0
M3_C1_KP3_T1_A_r02,B0024,C1,M3,numeric_wrong,CN,hardcoded_constant,CN,CN,CN,mechanical,Y,1
M1_C2_KP5_T3_can_r10,B0025,C2,M1,numeric_wrong,CV,sign_flip,CN,CN,CV,mechanical,Y,0
M3_C3_KP5_T2_A_r02,B0026,C3,M3,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
M1_C1_KP3_T2_B_r10,B0027,C1,M1,numeric_wrong,CV,percent_x100,CV,CN,CV,mechanical,Y,0
M1_C1_KP5_T3_B_r07,B0028,C1,M1,numeric_wrong,UNMATCHED,unmatched,CN,CN,CN,ai_agree,N,0
