run_id,task_id,condition,model,bucket,mech_class,mech_detail,declared_auto
M1_C1_KP1_T1_A_r01,KP1_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C3_KP1_T1_A_r01,KP1_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,N
M3_C3_KP1_T1_A_r01,KP1_T1,C3,M3,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP1_T2_A_r01,KP1_T2,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C3_KP1_T2_A_r01,KP1_T2,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP1_T3_A_r01,KP1_T3,C1,M1,numeric_wrong,UNMATCHED,unmatched,N
M1_C3_KP1_T3_A_r01,KP1_T3,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C1_KP1_T3_A_r01,KP1_T3,C1,M3,numeric_wrong,CN,hardcoded_constant,Y
M1_C1_KP2_T1_A_r01,KP2_T1,C1,M1,numeric_wrong,CV,percent_x100,N
M1_C1_KP2_T2_A_r01,KP2_T2,C1,M1,numeric_wrong,CV,percent_x100,N
M3_C3_KP1_T3_A_r01,KP1_T3,C3,M3,numeric_wrong,CN,hardcoded_constant,N
M1_C1_KP2_T3_A_r01,KP2_T3,C1,M1,numeric_wrong,CV,percent_x100,N
M1_C3_KP2_T3_A_r01,KP2_T3,C3,M1,numeric_wrong,CV,silent_alt:rf_geometric,N
M2_C3_KP2_T3_A_r01,KP2_T3,C3,M2,numeric_wrong,CV,silent_alt:rf_geometric,N
M1_C1_KP3_T1_A_r01,KP3_T1,C1,M1,numeric_wrong,UNMATCHED,unmatched,Y
M3_C2_KP2_T3_can_r01,KP2_T3,C2,M3,numeric_wrong,CV,silent_alt:rf_geometric,N
M1_C3_KP3_T1_A_r01,KP3_T1,C3,M1,numeric_wrong,UNMATCHED,unmatched,Y
M1_C1_KP3_T2_A_r01,KP3_T2,C1,M1,numeric_wrong,CV,percent_x100,Y
M3_C1_KP3_T1_A_r01,KP3_T1,C1,M3,numeric_wrong,UNMATCHED,unmatched,Y
