run_id,condition,model,status,adequate,r1,r2
M1_C2_KP1_T2_can_r01,C2,M1,rated,True,True,True
M1_C1_KP1_T2_A_r01,C1,M1,rated,True,True,True
M1_C3_KP1_T2_A_r01,C3,M1,rated,False,True,False
M1_C4_KP1_T2_can_r01,C4,M1,rated,False,True,False
M2_C2_KP1_T2_can_r01,C2,M2,no_figure,False,,
M2_C1_KP1_T2_A_r01,C1,M2,rated,True,True,True
M2_C3_KP1_T2_A_r01,C3,M2,rated,True,True,True
M2_C4_KP1_T2_can_r01,C4,M2,rated,True,True,True
M3_C2_KP1_T2_can_r01,C2,M3,rated,True,True,True
M3_C1_KP1_T2_A_r01,C1,M3,rated,True,True,True
M1_C1_KP2_T2_A_r01,C1,M1,rated,True,True,True
M1_C2_KP2_T2_can_r01,C2,M1,rated,True,True,True
M2_C1_KP2_T2_A_r01,C1,M2,rated,True,True,True
M1_C3_KP2_T2_A_r01,C3,M1,rated,True,True,True
M2_C3_KP2_T2_A_r01,C3,M2,rated,True,True,True
M1_C4_KP2_T2_can_r01,C4,M1,rated,True,True,True
M3_C1_KP2_T2_A_r01,C1,M3,rated,True,True,True
M2_C2_KP2_T2_can_r01,C2,M2,rated,False,False,True
M2_C4_KP2_T2_can_r01,C4,M2,rated,True,True,True
M3_C2_KP2_T2_can_r01,C2,M3,rated,True,True,True
M3_C3_KP2_T2_A_r01,C3,M3,rated,False,True,False
M3_C4_KP2_T2_can_r01,C4,M3,rated,True,True,True
M1_C1_KP3_T2_A_r01,C1,M1,rated,True,True,True
M3_C3_KP1_T2_A_r01,C3,M3,rated,True,True,True
M1_C2_KP3_T2_can_r01,C2,M1,rated,True,True,True
M1_C3_KP3_T2_A_r01,C3,M1,rated,True,True,True
M2_C1_KP3_T2_A_r01,C1,M2,no_figure,False,,
M1_C4_KP3_T2_can_r01,C4,M1,rated,True,True,True
M3_C4_KP1_T2_can_r01,C4,M3,rated,True,True,True
M2_C2_KP3_T2_can_r01,C2,M2,no_figure,False,,
M2_C4_KP3_T2_can_r01,C4,M2,no_figure,False,,
M3_C4_KP3_T2_can_r01,C4,M3,rated,True,True,True
M3_C2_KP3_T2_can_r01,C2,M3,rated,True,True,True
M2_C3_KP3_T2_A_r01,C3,M2,html_unrated,,,
M1_C1_KP4_T2_A_r01,C1,M1,rated,True,True,True
M1_C2_KP4_T2_can_r01,C2,M1,rated,True,True,True
M2_C1_KP4_T2_A_r01,C1,M2,no_figure,False,,
M2_C2_KP4_T2_can_r01,C2,M2,rated,True,True,True
M1_C3_KP4_T2_A_r01,C3,M1,rated,True,True,True
M3_C2_KP4_T2_can_r01,C2,M3,rated,True,True,True
M1_C4_KP4_T2_can_r01,C4,M1,rated,True,True,True
M2_C3_KP4_T2_A_r01,C3,M2,rated,True,True,True
M2_C4_KP4_T2_can_r01,C4,M2,rated,True,True,True
M3_C1_KP4_T2_A_r01,C1,M3,rated,True,True,True
M3_C4_KP4_T2_can_r01,C4,M3,rated,True,True,True
M3_C3_KP4_T2_A_r01,C3,M3,rated,True,True,True
M1_C1_KP5_T2_A_r01,C1,M1,rated,False,True,False
M1_C2_KP5_T2_can_r01,C2,M1,rated,True,True,True
M2_C1_KP5_T2_A_r01,C1,M2,rated,True,True,True
M3_C1_KP5_T2_A_r01,C1,M3,rated,True,True,True
M2_C2_KP5_T2_can_r01,C2,M2,rated,True,True,True
M1_C3_KP5_T2_A_r01,C3,M1,rated,False,True,False
M3_C1_KP3_T2_A_r01,C1,M3,rated,True,True,True
M1_C4_KP5_T2_can_r01,C4,M1,rated,True,True,True
M3_C3_KP5_T2_A_r01,C3,M3,rated,True,True,True
M2_C3_KP5_T2_A_r01,C3,M2,rated,True,True,True
M2_C4_KP5_T2_can_r01,C4,M2,rated,True,True,True
M3_C4_KP5_T2_can_r01,C4,M3,no_figure,False,,
M1_C1_KP6_T2_A_r01,C1,M1,rated,True,True,True
M2_C1_KP6_T2_A_r01,C1,M2,no_figure,False,,
M1_C2_KP6_T2_can_r01,C2,M1,rated,True,True,True
M1_C3_KP6_T2_A_r01,C3,M1,rated,True,True,True
M2_C3_KP6_T2_A_r01,C3,M2,no_figure,False,,
M1_C4_KP6_T2_can_r01,C4,M1,rated,True,True,True
M3_C1_KP6_T2_A_r01,C1,M3,no_figure,False,,
M2_C4_KP6_T2_can_r01,C4,M2,rated,True,True,True
M3_C2_KP5_T2_can_r01,C2,M3,rated,True,True,True
M2_C2_KP6_T2_can_r01,C2,M2,rated,True,True,True
M3_C3_KP6_T2_A_r01,C3,M3,no_figure,False,,
M3_C4_KP6_T2_can_r01,C4,M3,rated,True,True,True
M3_C2_KP6_T2_can_r01,C2,M3,rated,True,True,True
M1_C1_KP1_T2_A_r02,C1,M1,rated,True,True,True
M1_C2_KP1_T2_can_r02,C2,M1,rated,False,False,True
M3_C1_KP1_T2_A_r02,C1,M3,rated,True,True,True
M1_C3_KP1_T2_A_r02,C3,M1,rated,True,True,True
M2_C1_KP1_T2_A_r02,C1,M2,rated,True,True,True
M3_C2_KP1_T2_can_r02,C2,M3,rated,True,True,True
M1_C4_KP1_T2_can_r02,C4,M1,rated,False,True,False
M2_C2_KP1_T2_can_r02,C2,M2,no_figure,False,,
M2_C3_KP1_T2_A_r02,C3,M2,rated,False,True,False
M2_C4_KP1_T2_can_r02,C4,M2,rated,True,True,True
M3_C4_KP1_T2_can_r02,C4,M3,rated,True,True,True
M1_C1_KP2_T2_A_r02,C1,M1,rated,True,True,True
M3_C3_KP1_T2_A_r02,C3,M3,rated,True,True,True
M1_C2_KP2_T2_can_r02,C2,M1,rated,True,True,True
M2_C1_KP2_T2_A_r02,C1,M2,rated,True,True,True
M3_C1_KP2_T2_A_r02,C1,M3,rated,True,True,True
M1_C3_KP2_T2_A_r02,C3,M1,rated,True,True,True
M1_C4_KP2_T2_can_r02,C4,M1,rated,False,True,False
M2_C2_KP2_T2_can_r02,C2,M2,rated,False,True,False
M2_C3_KP2_T2_A_r02,C3,M2,rated,False,True,False
M3_C2_KP2_T2_can_r02,C2,M3,rated,True,True,True
M3_C3_KP2_T2_A_r02,C3,M3,no_figure,False,,
M2_C4_KP2_T2_can_r02,C4,M2,no_figure,False,,
M3_C4_KP2_T2_can_r02,C4,M3,rated,True,True,True
M1_C1_KP3_T2_A_r02,C1,M1,rated,True,True,True
M1_C2_KP3_T2_can_r02,C2,M1,rated,True,True,True
M1_C3_KP3_T2_A_r02,C3,M1,rated,True,True,True
M3_C1_KP3_T2_A_r02,C1,M3,rated,True,True,True
M2_C1_KP3_T2_A_r02,C1,M2,rated,True,True,True
M1_C4_KP3_T2_can_r02,C4,M1,rated,True,True,True
M3_C2_KP3_T2_can_r02,C2,M3,rated,True,True,True
M2_C2_KP3_T2_can_r02,C2,M2,rated,True,True,True
M2_C4_KP3_T2_can_r02,C4,M2,rated,True,True,True
M3_C4_KP3_T2_can_r02,C4,M3,rated,True,True,True
M2_C3_KP3_T2_A_r02,C3,M2,rated,True,True,True
M3_C3_KP3_T2_A_r02,C3,M3,rated,True,True,True
M1_C1_KP4_T2_A_r02,C1,M1,rated,True,True,True
M1_C2_KP4_T2_can_r02,C2,M1,rated,True,True,True
M1_C3_KP4_T2_A_r02,C3,M1,no_figure,False,,
M3_C1_KP4_T2_A_r02,C1,M3,rated,True,True,True
M2_C2_KP4_T2_can_r02,C2,M2,rated,True,True,True
M1_C4_KP4_T2_can_r02,C4,M1,rated,True,True,True
M3_C3_KP4_T2_A_r02,C3,M3,rated,True,True,True
M2_C3_KP4_T2_A_r02,C3,M2,rated,True,True,True
M2_C4_KP4_T2_can_r02,C4,M2,rated,True,True,True
M2_C1_KP4_T2_A_r02,C1,M2,rated,True,True,True
M3_C4_KP4_T2_can_r02,C4,M3,rated,True,True,True
M1_C1_KP5_T2_A_r02,C1,M1,rated,True,True,True
M1_C2_KP5_T2_can_r02,C2,M1,rated,True,True,True
M1_C3_KP5_T2_A_r02,C3,M1,rated,True,True,True
M2_C1_KP5_T2_A_r02,C1,M2,no_figure,False,,
M3_C2_KP4_T2_can_r02,C2,M3,no_figure,False,,
M2_C3_KP5_T2_A_r02,C3,M2,rated,True,True,True
M2_C2_KP5_T2_can_r02,C2,M2,rated,True,True,True
M1_C4_KP5_T2_can_r02,C4,M1,rated,False,False,True
M3_C1_KP5_T2_A_r02,C1,M3,no_figure,False,,
M3_C4_KP5_T2_can_r02,C4,M3,rated,True,True,True
M2_C4_KP5_T2_can_r02,C4,M2,rated,True,True,True
M3_C2_KP5_T2_can_r02,C2,M3,rated,True,True,True
M3_C3_KP5_T2_A_r02,C3,M3,rated,True,True,True
M1_C1_KP6_T2_A_r02,C1,M1,rated,True,True,True
M2_C1_KP6_T2_A_r02,C1,M2,no_figure,False,,
M1_C2_KP6_T2_can_r02,C2,M1,rated,True,True,True
M1_C3_KP6_T2_A_r02,C3,M1,rated,True,True,True
M3_C2_KP6_T2_can_r02,C2,M3,rated,True,True,True
M1_C4_KP6_T2_can_r02,C4,M1,rated,False,True,False
M2_C3_KP6_T2_A_r02,C3,M2,no_figure,False,,
M2_C2_KP6_T2_can_r02,C2,M2,no_figure,False,,
M2_C4_KP6_T2_can_r02,C4,M2,rated,True,True,True
M3_C3_KP6_T2_A_r02,C3,M3,no_figure,False,,
M3_C1_KP6_T2_A_r02,C1,M3,no_figure,False,,
M3_C4_KP6_T2_can_r02,C4,M3,rated,True,True,True
M1_C1_KP1_T2_A_r03,C1,M1,rated,False,True,False
M1_C2_KP1_T2_can_r03,C2,M1,rated,True,True,True
M2_C1_KP1_T2_A_r03,C1,M2,rated,False,True,False
M1_C3_KP1_T2_A_r03,C3,M1,no_figure,False,,
M1_C4_KP1_T2_can_r03,C4,M1,rated,False,True,False
M3_C1_KP1_T2_A_r03,C1,M3,rated,False,True,False
M2_C2_KP1_T2_can_r03,C2,M2,rated,True,True,True
M2_C4_KP1_T2_can_r03,C4,M2,rated,False,False,False
M2_C3_KP1_T2_A_r03,C3,M2,rated,False,False,True
M3_C2_KP1_T2_can_r03,C2,M3,rated,True,True,True
M3_C4_KP1_T2_can_r03,C4,M3,rated,True,True,True
M1_C1_KP2_T2_A_r03,C1,M1,rated,True,True,True
M1_C2_KP2_T2_can_r03,C2,M1,rated,True,True,True
M2_C1_KP2_T2_A_r03,C1,M2,rated,True,True,True
M1_C3_KP2_T2_A_r03,C3,M1,rated,True,True,True
M1_C4_KP2_T2_can_r03,C4,M1,rated,True,True,True
M2_C3_KP2_T2_A_r03,C3,M2,rated,True,True,True
M3_C3_KP1_T2_A_r03,C3,M3,rated,True,True,True
M2_C2_KP2_T2_can_r03,C2,M2,rated,False,False,True
M2_C4_KP2_T2_can_r03,C4,M2,rated,True,True,True
M3_C1_KP2_T2_A_r03,C1,M3,rated,True,True,True
M3_C4_KP2_T2_can_r03,C4,M3,rated,True,True,True
M3_C2_KP2_T2_can_r03,C2,M3,rated,True,True,True
M3_C3_KP2_T2_A_r03,C3,M3,rated,False,False,True
M1_C1_KP3_T2_A_r03,C1,M1,rated,True,True,True
