blind_id,cls_A,cls_B
B0004,CV,CN
B0010,CV,CN
B0017,CV,CN
B0019,CD,CV
B0023,CN,CV
B0024,CV,CN
B0028,CN,CV
B0031,CN,CV
B0035,CV,CN
B0036,CV,CN
B0044,CV,CN
B0045,CV,CD
B0050,CV,CN
B0055,CN,CV
B0057,CN,CV
B0061,CV,CN
B0065,CN,CV
B0068,CV,CN
B0074,CN,VZ
B0077,CV,VZ
B0080,VZ,CN
B0084,CN,CV
B0085,VZ,CV
B0095,CN,VZ
B0102,CV,CN
B0107,CV,CN
B0109,CN,VZ
B0116,CN,CV
B0128,CV,CN
B0129,CV,VZ
B0137,CV,CN
B0141,CN,CV
B0146,CN,CV
B0153,CV,VZ
B0159,CV,CN
B0161,CV,CN
B0164,CD,CN
B0166,CN,CV
B0167,CN,CV
B0168,CN,CV
B0176,CV,CN
B0178,CN,CD
B0185,CN,CV
B0189,CN,VZ
B0190,CV,CN
B0194,VZ,CV
B0198,CN,CV
B0199,CN,CV
B0200,CV,VZ
B0203,CN,CV
B0211,VZ,CV
B0212,CV,CN
B0213,CN,CV
B0218,CV,CN
B0224,CN,CV
B0239,VZ,CN
B0241,CN,CV
B0242,CV,CN
B0247,CV,CN
B0251,CV,CN
B0263,VZ,CV
B0268,CN,CV
B0269,CV,CN
B0271,CN,CV
B0274,CV,VZ
B0278,CV,CN
B0279,CV,CN
B0284,CV,CN
B0300,CN,CV
B0320,CN,VZ
B0337,CN,CV
B0345,CN,CV
B0356,CV,VZ
B0358,CV,CN
B0359,CN,VZ
B0365,CN,CV
B0366,CV,CN
B0377,VZ,CV
B0386,CV,CN
B0388,CN,CV
B0390,CV,CN
B0391,CV,CN
B0393,CV,CN
B0397,CN,VZ
B0403,CN,CV
B0415,CV,CN
B0420,CN,CV
B0425,VZ,CN
B0446,CN,CV
B0448,CV,CN
B0450,CV,CN
B0460,CV,CN
B0461,CV,CN
B0474,CN,CV
B0484,VZ,CV
B0486,CN,CV
B0489,VZ,CV
B0504,CN,VZ
B0517,VZ,CV
B0522,CV,CN
B0523,CV,CN
B0531,CV,CN
B0535,CN,CV
B0537,CV,CN
B0538,CV,CN
B0541,CN,CV
B0545,CN,CV
B0549,CV,CN
B0558,CV,CN
B0565,CV,CN
B0566,CV,CN
B0567,CN,CV
B0570,CV,VZ
B0575,CD,CV
B0579,CN,CV
B0580,VZ,CV
B0582,CV,CN
B0583,CN,CV
B0590,CV,CN
B0591,CV,CN
B0597,CN,CV
B0599,CN,CV
B0601,VZ,CN
B0602,CV,CN
B0603,CV,CN
B0605,VZ,CN
B0611,CV,CN
B0612,VZ,CV
B0617,CV,CN
B0620,CN,CV
B0631,CN,CV
B0636,CN,VZ
B0639,CV,CN
B0640,CV,CN
B0645,CN,CV
B0648,CV,CN
B0650,CN,CV
B0651,CV,CN
B0653,CV,CN
B0657,CN,CV
B0659,VZ,CN
B0663,CV,CD
B0669,CV,CN
B0678,CV,CN
B0681,CV,CN
B0686,CN,CV
