date,fund,bench
2024-01-02,0.00528521,0.00640121
2024-01-03,-0.00437578,-0.00255359
2024-01-04,0.00223206,-0.00035520
2024-01-05,0.02143234,0.02189834
2024-01-08,-0.00602505,-0.00484206
2024-01-09,-0.00810400,-0.00967324
2024-01-10,-0.00831047,-0.00181571
2024-01-11,-0.00518668,-0.00377294
2024-01-12,0.00052696,-0.00171026
2024-01-15,-0.01689016,0.00194521
2024-01-16,-0.00741555,-0.00280712
2024-01-17,0.00985258,0.00951845
2024-01-18,-0.00496605,0.00036464
2024-01-19,-0.00140983,0.00271449
2024-01-22,-0.01674697,-0.01283413
2024-01-23,-0.00545452,-0.00406759
2024-01-24,0.02017239,0.01739422
2024-01-25,0.01326093,0.01126307
2024-01-26,-0.00716346,-0.00202575
2024-01-29,0.00482517,-0.00001773
2024-01-30,0.02053387,0.01663707
2024-01-31,-0.00297503,0.00061009
2024-02-01,-0.00012717,-0.00399300
2024-02-02,-0.01690716,-0.01425975
2024-02-05,-0.02039684,-0.00575995
2024-02-06,0.00902518,0.00729107
2024-02-07,-0.01416291,-0.00205597
2024-02-08,-0.00709541,0.00097064
2024-02-09,-0.02159675,-0.01341847
2024-02-12,-0.00664246,0.00001590
2024-02-13,0.01046741,0.00696812
2024-02-14,0.01222923,0.00853013
2024-02-15,0.01206196,0.00784338
2024-02-16,0.00504397,0.00053333
2024-02-19,-0.00063968,0.00589361
2024-02-20,-0.00887947,-0.01349603
2024-02-21,0.01672137,0.00760382
2024-02-22,-0.00772038,-0.00202127
2024-02-23,0.02847560,0.01950161
2024-02-26,0.01306723,0.00497881
2024-02-27,-0.00066151,-0.00351835
2024-02-28,0.01866990,0.00969857
2024-02-29,-0.00350346,-0.00260241
2024-03-01,-0.01088947,-0.00507816
2024-03-04,-0.00661445,-0.00328504
2024-03-05,-0.00812602,-0.01652621
2024-03-06,-0.00280326,-0.00802015
2024-03-07,0.02890846,0.02596517
2024-03-08,0.01157291,0.00379884
2024-03-11,0.00570021,0.00378258
2024-03-12,-0.01598710,-0.00519490
2024-03-13,0.00164360,0.00236198
2024-03-14,-0.00414576,-0.01063126
2024-03-15,-0.00234504,0.00564255
2024-03-18,-0.01515554,-0.01266158
2024-03-19,0.00261330,0.00777635
2024-03-20,0.00162256,0.00658587
2024-03-21,-0.00986480,-0.01025917
2024-03-22,0.01065585,0.01047930
2024-03-25,-0.00002735,-0.00581823
2024-03-26,-0.01250264,-0.01195071
2024-03-27,-0.00861477,-0.00107640
2024-03-28,-0.00654944,-0.00762605
2024-03-29,-0.01091799,-0.00507799
2024-04-01,0.01547971,0.01446015
2024-04-02,-0.01835616,-0.00912424
2024-04-03,0.02249562,0.01723554
2024-04-04,-0.00269926,-0.00794607
2024-04-05,-0.02038313,-0.01963520
2024-04-08,0.01960256,0.01923941
2024-04-09,-0.00725758,-0.00398015
2024-04-10,0.01513249,0.01039668
2024-04-11,0.00208640,-0.00921619
2024-04-12,-0.00157065,-0.00239563
2024-04-15,0.00567345,-0.00416740
2024-04-16,-0.00672301,-0.00469317
2024-04-17,0.01601926,0.01113209
2024-04-18,-0.00065743,-0.00341431
2024-04-19,-0.00848674,-0.00547309
2024-04-22,-0.01568953,-0.01010749
2024-04-23,-0.01115770,-0.00314576
2024-04-24,-0.01349791,-0.01036548
