model,condition,task_id,bucket,exec_ok,correct
M1,Creg,KP1_T1,correct,1,1
M1,Creg,KP1_T1,correct,1,1
M1,Creg,KP1_T1,correct,1,1
M1,Creg,KP1_T1,correct,1,1
M1,Creg,KP1_T1,correct,1,1
M2,Creg,KP1_T1,correct,1,1
M2,Creg,KP1_T1,correct,1,1
M2,Creg,KP1_T1,correct,1,1
M2,Creg,KP1_T1,correct,1,1
M2,Creg,KP1_T1,correct,1,1
M3,Creg,KP1_T1,correct,1,1
M3,Creg,KP1_T1,correct,1,1
M3,Creg,KP1_T1,correct,1,1
M3,Creg,KP1_T1,correct,1,1
M3,Creg,KP1_T1,correct,1,1
M1,C1wS,KP1_T1,correct,1,1
M1,C1wS,KP1_T1,correct,1,1
M1,C1wS,KP1_T1,correct,1,1
M1,C1wS,KP1_T1,correct,1,1
M1,C1wS,KP1_T1,correct,1,1
M2,C1wS,KP1_T1,correct,1,1
M2,C1wS,KP1_T1,format_failure,1,0
M2,C1wS,KP1_T1,correct,1,1
M2,C1wS,KP1_T1,correct,1,1
M2,C1wS,KP1_T1,correct,1,1
M3,C1wS,KP1_T1,correct,1,1
M3,C1wS,KP1_T1,correct,1,1
M3,C1wS,KP1_T1,correct,1,1
M3,C1wS,KP1_T1,correct,1,1
M3,C1wS,KP1_T1,correct,1,1
M1,Creg,KP2_T3,numeric_wrong,1,0
M1,Creg,KP2_T3,numeric_wrong,1,0
M1,Creg,KP2_T3,numeric_wrong,1,0
M1,Creg,KP2_T3,numeric_wrong,1,0
M1,Creg,KP2_T3,numeric_wrong,1,0
M2,Creg,KP2_T3,correct,1,1
M2,Creg,KP2_T3,numeric_wrong,1,0
M2,Creg,KP2_T3,correct,1,1
M2,Creg,KP2_T3,correct,1,1
M2,Creg,KP2_T3,correct,1,1
M3,Creg,KP2_T3,defensible,1,0
M3,Creg,KP2_T3,correct,1,1
M3,Creg,KP2_T3,correct,1,1
M3,Creg,KP2_T3,correct,1,1
M3,Creg,KP2_T3,correct,1,1
M1,C1wS,KP2_T3,numeric_wrong,1,0
M1,C1wS,KP2_T3,numeric_wrong,1,0
M1,C1wS,KP2_T3,numeric_wrong,1,0
M1,C1wS,KP2_T3,numeric_wrong,1,0
M1,C1wS,KP2_T3,numeric_wrong,1,0
M2,C1wS,KP2_T3,correct,1,1
M2,C1wS,KP2_T3,numeric_wrong,1,0
M2,C1wS,KP2_T3,numeric_wrong,1,0
M2,C1wS,KP2_T3,numeric_wrong,1,0
M2,C1wS,KP2_T3,correct,1,1
M3,C1wS,KP2_T3,code_error,0,0
M3,C1wS,KP2_T3,defensible,1,0
M3,C1wS,KP2_T3,numeric_wrong,1,0
M3,C1wS,KP2_T3,numeric_wrong,1,0
M3,C1wS,KP2_T3,numeric_wrong,1,0
M1,Creg,KP3_T1,correct,1,1
M1,Creg,KP3_T1,numeric_wrong,1,0
M1,Creg,KP3_T1,correct,1,1
M1,Creg,KP3_T1,correct,1,1
M1,Creg,KP3_T1,correct,1,1
M2,Creg,KP3_T1,correct,1,1
M2,Creg,KP3_T1,correct,1,1
M2,Creg,KP3_T1,correct,1,1
M2,Creg,KP3_T1,format_failure,1,0
M2,Creg,KP3_T1,correct,1,1
M3,Creg,KP3_T1,correct,1,1
M3,Creg,KP3_T1,correct,1,1
M3,Creg,KP3_T1,correct,1,1
M3,Creg,KP3_T1,correct,1,1
M3,Creg,KP3_T1,correct,1,1
M1,C1wS,KP3_T1,correct,1,1
M1,C1wS,KP3_T1,numeric_wrong,1,0
M1,C1wS,KP3_T1,numeric_wrong,1,0
M1,C1wS,KP3_T1,numeric_wrong,1,0
M1,C1wS,KP3_T1,numeric_wrong,1,0
M2,C1wS,KP3_T1,correct,1,1
M2,C1wS,KP3_T1,correct,1,1
M2,C1wS,KP3_T1,correct,1,1
M2,C1wS,KP3_T1,correct,1,1
M2,C1wS,KP3_T1,correct,1,1
M3,C1wS,KP3_T1,correct,1,1
M3,C1wS,KP3_T1,correct,1,1
M3,C1wS,KP3_T1,correct,1,1
M3,C1wS,KP3_T1,format_failure,0,0
M3,C1wS,KP3_T1,correct,1,1
M1,Creg,KP4_T1,numeric_wrong,1,0
M1,Creg,KP4_T1,numeric_wrong,1,0
M1,Creg,KP4_T1,numeric_wrong,1,0
M1,Creg,KP4_T1,numeric_wrong,1,0
M1,Creg,KP4_T1,numeric_wrong,1,0
M2,Creg,KP4_T1,correct,1,1
M2,Creg,KP4_T1,numeric_wrong,1,0
M2,Creg,KP4_T1,numeric_wrong,1,0
M2,Creg,KP4_T1,correct,1,1
M2,Creg,KP4_T1,numeric_wrong,1,0
M3,Creg,KP4_T1,correct,1,1
M3,Creg,KP4_T1,correct,1,1
M3,Creg,KP4_T1,correct,1,1
M3,Creg,KP4_T1,correct,1,1
M3,Creg,KP4_T1,correct,1,1
M1,C1wS,KP4_T1,numeric_wrong,1,0
M1,C1wS,KP4_T1,numeric_wrong,1,0
M1,C1wS,KP4_T1,numeric_wrong,1,0
M1,C1wS,KP4_T1,numeric_wrong,1,0
M1,C1wS,KP4_T1,numeric_wrong,1,0
M2,C1wS,KP4_T1,correct,1,1
M2,C1wS,KP4_T1,correct,1,1
M2,C1wS,KP4_T1,correct,1,1
M2,C1wS,KP4_T1,correct,1,1
M2,C1wS,KP4_T1,numeric_wrong,1,0
M3,C1wS,KP4_T1,correct,1,1
M3,C1wS,KP4_T1,correct,1,1
M3,C1wS,KP4_T1,correct,1,1
M3,C1wS,KP4_T1,correct,1,1
M3,C1wS,KP4_T1,correct,1,1
M1,Creg,KP5_T3,correct,1,1
M1,Creg,KP5_T3,correct,1,1
M1,Creg,KP5_T3,correct,1,1
M1,Creg,KP5_T3,numeric_wrong,1,0
M1,Creg,KP5_T3,correct,1,1
M2,Creg,KP5_T3,correct,1,1
M2,Creg,KP5_T3,correct,1,1
M2,Creg,KP5_T3,correct,1,1
M2,Creg,KP5_T3,correct,1,1
M2,Creg,KP5_T3,format_failure,1,0
M3,Creg,KP5_T3,correct,1,1
M3,Creg,KP5_T3,correct,1,1
M3,Creg,KP5_T3,correct,1,1
M3,Creg,KP5_T3,correct,1,1
M3,Creg,KP5_T3,correct,1,1
M1,C1wS,KP5_T3,numeric_wrong,1,0
M1,C1wS,KP5_T3,numeric_wrong,1,0
M1,C1wS,KP5_T3,numeric_wrong,1,0
M1,C1wS,KP5_T3,numeric_wrong,1,0
M1,C1wS,KP5_T3,numeric_wrong,1,0
M2,C1wS,KP5_T3,correct,1,1
M2,C1wS,KP5_T3,correct,1,1
M2,C1wS,KP5_T3,correct,1,1
M2,C1wS,KP5_T3,correct,1,1
M2,C1wS,KP5_T3,correct,1,1
M3,C1wS,KP5_T3,correct,1,1
M3,C1wS,KP5_T3,correct,1,1
M3,C1wS,KP5_T3,correct,1,1
M3,C1wS,KP5_T3,correct,1,1
M3,C1wS,KP5_T3,correct,1,1
M1,Creg,KP6_T1,numeric_wrong,1,0
M1,Creg,KP6_T1,numeric_wrong,1,0
M1,Creg,KP6_T1,numeric_wrong,1,0
M1,Creg,KP6_T1,numeric_wrong,1,0
M1,Creg,KP6_T1,numeric_wrong,1,0
M2,Creg,KP6_T1,numeric_wrong,1,0
M2,Creg,KP6_T1,numeric_wrong,1,0
M2,Creg,KP6_T1,numeric_wrong,1,0
M2,Creg,KP6_T1,code_error,0,0
M2,Creg,KP6_T1,numeric_wrong,1,0
M3,Creg,KP6_T1,numeric_wrong,1,0
M3,Creg,KP6_T1,numeric_wrong,1,0
M3,Creg,KP6_T1,numeric_wrong,1,0
M3,Creg,KP6_T1,numeric_wrong,1,0
M3,Creg,KP6_T1,numeric_wrong,1,0
M1,C1wS,KP6_T1,numeric_wrong,1,0
M1,C1wS,KP6_T1,code_error,0,0
M1,C1wS,KP6_T1,numeric_wrong,1,0
M1,C1wS,KP6_T1,numeric_wrong,1,0
M1,C1wS,KP6_T1,numeric_wrong,1,0
M2,C1wS,KP6_T1,code_error,0,0
M2,C1wS,KP6_T1,numeric_wrong,1,0
M2,C1wS,KP6_T1,code_error,0,0
M2,C1wS,KP6_T1,numeric_wrong,1,0
M2,C1wS,KP6_T1,code_error,0,0
